date,dianchibanwendu,fengsu,fengxiang,huanjingwendu,qiya,shidu,fuzhaodu,power
2021/1/1 1:00,-20.9,2.1,334,-20.4,1009.9,49.6,0,-1.1163
2021/1/1 2:00,-20.2,1.8,23,-20,1010.2,51.2,0,-1.1163
2021/1/1 3:00,-21.7,0,312,-21.2,1010.9,55.4,0,-1.1163
2021/1/1 4:00,-21.3,0.6,276,-20.5,1011,55.7,0,-1.1163
2021/1/1 5:00,-21.8,0.5,245,-21.5,1011.5,53.3,0,-1.1163
2021/1/1 6:00,-21.8,1.7,262,-21,1011.5,53.2,0,-1.1163
2021/1/1 7:00,-22.7,1.5,284,-22.1,1012.2,60.9,0,-1.1163
2021/1/1 8:00,-22.5,1.1,256,-23.9,1013.6,62.2,192,13.8424
2021/1/1 9:00,-13.5,0,245,-18.9,1011.7,57,471,148.2474
2021/1/1 10:00,-10.4,0,245,-15.1,1010.3,41.3,635,193.7933
2021/1/1 11:00,-12.4,0.8,256,-14.2,1009.9,30.8,736,208.3054
2021/1/1 12:00,-13.2,2.3,312,-14.7,1009.5,30.7,776,210.3148
2021/1/1 13:00,-12.2,1.4,196,-13.3,1008.6,28.3,740,207.1891
2021/1/1 14:00,-11.4,2.1,279,-13.1,1008.7,28.4,623,185.979
2021/1/1 15:00,-12.5,2.1,357,-14.2,1009.3,28.1,437,114.088
2021/1/1 16:00,-14.8,1.5,321,-14.3,1009.6,29.8,12,1.3396
2021/1/1 17:00,-16,0,329,-15.2,1010.4,32.8,0,-1.1163
2021/1/1 18:00,-17.5,0,329,-15.8,1010.6,35.9,0,-1.1163
2021/1/1 19:00,-18.3,1.5,155,-17.3,1011.3,42.3,0,-0.8931
2021/1/1 20:00,-19.9,2.8,177,-18.6,1012.1,45.4,0,-0.8931
2021/1/1 21:00,-20.4,1.6,208,-19.4,1012.7,45.6,0,-1.1163
2021/1/1 22:00,-19.9,1.5,250,-19.2,1013.1,46.3,0,-1.1163
2021/1/1 23:00,-20.9,0,281,-19.6,1013.1,52.2,0,-0.8931
2021/1/2 0:00,-22,0.5,281,-21.3,1013.8,54.8,0,-1.1163
2021/1/2 1:00,-22,1.2,11,-21.9,1014.3,58.8,0,-0.8931
2021/1/2 2:00,-22,1.9,319,-21.4,1014.3,57.6,0,-0.8931
2021/1/2 3:00,-22.1,1.7,319,-21.5,1014.4,56.5,0,-0.8931
2021/1/2 4:00,-21.5,1,332,-20.8,1014,53,0,-1.1163
2021/1/2 5:00,-22.3,0.5,309,-21.3,1014.1,55.2,0,-1.1163
2021/1/2 6:00,-22.5,0.6,253,-21.7,1014.2,59.4,0,-1.1163
2021/1/2 7:00,-24,1.9,250,-23.4,1015,61.1,0,-1.1163
2021/1/2 8:00,-20.2,0.4,262,-20.6,1013.9,57.5,173,13.1726
2021/1/2 9:00,-15.2,2.1,276,-18.1,1013,52.8,451,143.7821
2021/1/2 10:00,-11.4,1.3,276,-15.3,1012.2,41.7,608,190.8908
2021/1/2 11:00,-11,1.7,298,-13.2,1011.1,33.9,724,207.8589
2021/1/2 12:00,-11.1,1.5,295,-12.5,1010.3,29,771,208.752
2021/1/2 13:00,-10.9,2.5,292,-11.9,1009.5,27.6,728,204.9565
2021/1/2 14:00,-9.5,2.3,293,-11.4,1009.3,27,614,183.7464
2021/1/2 15:00,-9.9,3,288,-11,1009.4,26.8,431,112.5251
2021/1/2 16:00,-12.3,1.7,262,-11.5,1009.8,28.2,81,4.242
2021/1/2 17:00,-14.7,1.3,256,-14,1011,35.2,0,-1.1163
2021/1/2 18:00,-16.7,2.2,230,-15.9,1011.7,35.9,0,-1.1163
2021/1/2 19:00,-18.1,1.8,231,-17.5,1012.1,40.4,0,-1.1163
2021/1/2 20:00,-18.9,1.9,230,-18.1,1012.4,42.8,0,-0.8931
2021/1/2 21:00,-19.5,1.4,242,-18.6,1012.7,44.6,0,-1.1163
2021/1/2 22:00,-18.3,2.9,263,-17.8,1012.5,47.1,0,-1.1163
2021/1/2 23:00,-17.4,0.8,290,-16.7,1012.1,49.3,0,-0.8931
2021/1/3 0:00,-18.2,0.8,323,-17.6,1012.4,52.5,0,-0.8931
2021/1/3 1:00,-18.6,0.6,329,-17.9,1012.8,54,0,-1.1163
2021/1/3 2:00,-18.5,0.6,307,-17.9,1013,54.9,0,-1.1163
2021/1/3 3:00,-18.1,1.5,301,-17.6,1013,55.4,0,-1.1163
2021/1/3 4:00,-18.2,2.6,284,-17.6,1012.9,54.8,0,-1.1163
2021/1/3 5:00,-18.5,1.2,293,-17.8,1013.1,55.7,0,-1.1163
